improvement,attack_type,metric,baseline,improved,epoch,value
activation_function,Slowloris,f1_score,0.912,0.931,,
activation_function,DDoS,f1_score,0.968,0.969,,
activation_function,PortScan,f1_score,0.905,0.918,,
activation_function,WebAttack,f1_score,0.923,0.936,,
activation_function,Overall,f1_score,0.933,0.947,,
activation_function,Overall,precision,0.928,0.943,,
activation_function,Overall,recall,0.938,0.951,,
activation_function,Overall,accuracy,0.933,0.947,,
activation_function,,train_loss_epoch,0.245,0.238,1,
activation_function,,train_loss_epoch,0.189,0.181,5,
activation_function,,train_loss_epoch,0.152,0.143,10,
activation_function,,train_loss_epoch,0.128,0.118,15,
activation_function,,train_loss_epoch,0.108,0.097,20,
activation_function,,train_loss_epoch,0.094,0.083,25,
activation_function,,train_loss_epoch,0.085,0.074,30,
adamw_weight_decay,Known Attacks,f1_score,0.945,0.948,,
adamw_weight_decay,Novel Attacks,f1_score,0.887,0.918,,
adamw_weight_decay,Attack Variations,f1_score,0.921,0.935,,
adamw_weight_decay,Adversarial,f1_score,0.892,0.928,,
adamw_weight_decay,Overall,f1_score,0.933,0.951,,
adamw_weight_decay,Overall,precision,0.928,0.947,,
adamw_weight_decay,Overall,recall,0.938,0.955,,
adamw_weight_decay,Overall,accuracy,0.933,0.951,,
adamw_weight_decay,,epoch,,,1,
adamw_weight_decay,,epoch,,,5,
adamw_weight_decay,,epoch,,,10,
adamw_weight_decay,,epoch,,,15,
adamw_weight_decay,,epoch,,,20,
adamw_weight_decay,,epoch,,,25,
adamw_weight_decay,,epoch,,,30,
adamw_weight_decay,,train_loss_adam,,,1,0.248
adamw_weight_decay,,train_loss_adam,,,5,0.185
adamw_weight_decay,,train_loss_adam,,,10,0.145
adamw_weight_decay,,train_loss_adam,,,15,0.118
adamw_weight_decay,,train_loss_adam,,,20,0.098
adamw_weight_decay,,train_loss_adam,,,25,0.084
adamw_weight_decay,,train_loss_adam,,,30,0.075
adamw_weight_decay,,train_loss_adamw,,,1,0.251
adamw_weight_decay,,train_loss_adamw,,,5,0.188
adamw_weight_decay,,train_loss_adamw,,,10,0.149
adamw_weight_decay,,train_loss_adamw,,,15,0.122
adamw_weight_decay,,train_loss_adamw,,,20,0.104
adamw_weight_decay,,train_loss_adamw,,,25,0.092
adamw_weight_decay,,train_loss_adamw,,,30,0.085
adamw_weight_decay,,val_loss_adam,,,1,0.265
adamw_weight_decay,,val_loss_adam,,,5,0.198
adamw_weight_decay,,val_loss_adam,,,10,0.159
adamw_weight_decay,,val_loss_adam,,,15,0.135
adamw_weight_decay,,val_loss_adam,,,20,0.122
adamw_weight_decay,,val_loss_adam,,,25,0.118
adamw_weight_decay,,val_loss_adam,,,30,0.119
adamw_weight_decay,,val_loss_adamw,,,1,0.268
adamw_weight_decay,,val_loss_adamw,,,5,0.201
adamw_weight_decay,,val_loss_adamw,,,10,0.162
adamw_weight_decay,,val_loss_adamw,,,15,0.139
adamw_weight_decay,,val_loss_adamw,,,20,0.125
adamw_weight_decay,,val_loss_adamw,,,25,0.117
adamw_weight_decay,,val_loss_adamw,,,30,0.113
